protein1,protein2,Bait,Prey,GeneName,crisprKD,crisprContrast
9606.ENSP00000377958,9606.ENSP00000317334,Rv3722c,P50991,CCT4,TCP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000385479,9606.ENSP00000383333,ESPR,Q71DI3,HIST2H3A;,MORC3,TNFpos_iNOSpos-unsorted
9606.ENSP00000387170,9606.ENSP00000351416,Lpqn,Q6Y7W6,GIGYF2,ANKRD17,TNFpos_iNOSneg-unsorted
9606.ENSP00000387286,9606.ENSP00000267199,ESAT6,P62820,RAB1A,VPS33A,TNFpos_iNOSneg-unsorted
9606.ENSP00000392147,9606.ENSP00000356807,Rv1075c,O00743,PPP6C,TIPRL,TNFpos_iNOSneg-unsorted
9606.ENSP00000392147,9606.ENSP00000343535,Rv1075c,O00743,PPP6C,USP7,TNFpos_iNOSneg-unsorted
9606.ENSP00000401010,9606.ENSP00000458162,Rv2074,P47756,CAPZB,ACTB,TNFpos_iNOSneg-unsorted
9606.ENSP00000401946,9606.ENSP00000313007,Lpqn,Q9UPQ9,TNRC6B,PABPC1,TNFpos_iNOSpos-unsorted
9606.ENSP00000411825,9606.ENSP00000251968,Apa,Q8WUM4,PDCD6IP,TSG101,TNFpos_iNOSneg-unsorted
9606.ENSP00000416951,9606.ENSP00000215793,Rv1816,Q86VM9,ZC3H18,SF3A1,TNFpos_iNOSneg-unsorted
9606.ENSP00000416951,9606.ENSP00000366604,Rv1816,Q86VM9,ZC3H18,SF1,TNFpos_iNOSneg-unsorted
9606.ENSP00000418915,9606.ENSP00000209728,Rv3705c,Q8N726,CDKN2A,CDC6,TNFpos_iNOSpos-unsorted
9606.ENSP00000418915,9606.ENSP00000258149,Rv3705c,Q8N726,CDKN2A,MDM2,TNFpos_iNOSpos-unsorted
9606.ENSP00000434516,9606.ENSP00000253023,Trxa,Q16881,TXNRD1,UBE2M,TNFpos_iNOSneg-unsorted
9606.ENSP00000437256,9606.ENSP00000363018,Rv2469c,Q9UPY3,DICER1,RPL10A,TNFpos_iNOSneg-unsorted
9606.ENSP00000437256,9606.ENSP00000377486,Rv2469c,Q9UPY3,DICER1,MRPL15,TNFpos_iNOSneg-unsorted
9606.ENSP00000437256,9606.ENSP00000361076,Rv2469c,Q9UPY3,DICER1,RPL7A,TNFpos_iNOSneg-unsorted
9606.ENSP00000437256,9606.ENSP00000339844,Rv2469c,Q9UPY3,DICER1,MRPL43,TNFpos_iNOSneg-unsorted
9606.ENSP00000437256,9606.ENSP00000363574,Rv2469c,Q9UPY3,DICER1,EIF6,TNFpos_iNOSpos-unsorted
