MouseSymbol,mouseUPID
Amotl2,Q8K371
Ampd1,Q3V1D3
Ampd2,Q9DBT5
Ampd3,O08739
Amph,Q7TQF7
Amt,A2RSW6
Amtn,Q9D3J8
Amy1,P00687
Amy2a1,E9PV85
Amy2a5,P00688
Amy1,P00687
Amy2a1,E9PV85
Amy2a5,P00688
Amy1,P00687
Amy2a1,E9PV85
Amy2a5,P00688
Amy1,P00687
Amy2a1,E9PV85
Amy2a5,P00688
Amy1,P00687
Amy2a1,E9PV85
Amy2a5,P00688
Amz1,Q8BVF9
Amz2,Q400C8
Anapc1,P53995
Anapc10,Q8K2H6
Anapc11,Q9CPX9
Anapc13,Q8R034
Anapc15,P60007
Anapc15-ps,A0A1W2P6Q9
Anapc16,S4R2B6
Anapc2,Q8BZQ7
Anapc4,Q91W96
Anapc5,Q8BTZ4
Anapc7,Q9WVM3
Ang,Q3TBG7
Ang2,Q64438
Ang3,P97802
Ang4,Q3TMQ6
Ang5,Q5GAN1
Ang6,Q5GAN0
Angel1,Q8VCU0
Angel2,Q8K1C0
Angpt1,O08538
Angpt2,O35608
Angpt4,Q3V0P7
Angptl1,Q640P2
Angptl2,Q9R045
Angptl3,Q3UEF5
Angptl4,Q9Z1P8
Angptl6,Q8R0Z6
Angptl7,Q8R1Q3
Angptl8,Q80WX2
Ank1,Q02357
Ank2,Q8C8R3
Ank3,G5E8K5
Ankar,A2RT91
Ankdd1a,F8VQ39
Ankdd1b,Q14DN9
Ankef1,Q9D2J7
Ankfn1,Q8CDJ6
Ankfy1,Q810B6
Ank,Q9JHZ2
Ankhd1,Q8C5C5
Ankhd1,Q8C5C5
Ankib1,Q6ZPS6
Ankk1,B7ZN83
Ankle1,A8VU90
Ankle2,Q6P1H6
Ankmy1,Q8C0W1
Ankmy2,Q3TPE9
Ankra2,Q8R052
Ankrd1,Q9CR42
Ankrd10,Q99LW0
Ankrd11,E9Q4F7
Ankrd12,Q9CQQ3
Ankrd13a,Q80UP5
Ankrd13b,Q5F259
Ankrd13c,Q3UX43
Ankrd13d,Q6PD24
Ankrd16,A2AS55
Ankrd17,Q99NH0
Ankrd2,Q9WV06
Ankrd22,Q9D3J5
Ankrd23,B7ZNT7
Ankrd24,Q80VM7
Ankrd26,Q811D2
Ankrd27,Q3UMR0
Ankrd28,Q5DU34
